IDGPXIDGCICN001,Hu0/2/0/0 ,FC_SILPXSILCICN001 Hu0/3/2/0: IDGI531SIL F133-F134>>SILPXSILGEFD00 121-122,FIX-DN-G/F DFON Room/Kaytapos Rd Bgy Kaytapos Indang/Cavite (120.885429;14.195846)
IDGPXIDGCICN001,Hu0/3/2/0,FC_KAWS0016CIBE002 Hu0/0/0/2: IDGPXIDGCINC301   0/0/0/6 >>IDGI503TMS F63-F64>>CPZI348RSC F95-F96>>615RSC-CEPZA2 F101-F102>>615 Smart Rosario 24F ODF F3-F4>>615 Smart Rosario 24F ODF F88-F89>>BNKI347RSC F55-F56>>BNKGEFD055 F61-F62 >> KAWPXBNKCINC202 0/0/0/6,FIX-DN-G/F DFON Room/Kaytapos Rd Bgy Kaytapos Indang/Cavite (120.885429;14.195846)
IDGPXIDGCICN002,Hu0/2/0/0 ,FC_SILPXSILCICN002 Hu0/3/2/0: IDGI531SIL F135-F136>>SILPXSILGEFD00 123-124,FIX-DN-G/F DFON Room/Kaytapos Rd Bgy Kaytapos Indang/Cavite (120.885429;14.195846)
IDGPXIDGCICN002,Hu0/3/2/0,FC_KAWS0016CIBE001 Hu0/7/0/2: IDGPXIDGCINC301   0/0/0/13 >>IDGI503TMS F61-F62>>CPZI348RSC F93-F94>>615RSC-CEPZA2 F99-F100>>615 Smart Rosario 24F ODF F1-F2>>615 Smart Rosario 24F ODF F86-F87>>BNKI347RSC F61-F62>>BNKGEFD055 F63-F64>>KAWPXBNKCINC201 0/0/0/13,FIX-DN-G/F DFON Room/Kaytapos Rd Bgy Kaytapos Indang/Cavite (120.885429;14.195846)
IDGPXIDGCINC301,,,FIX-NCS1002-G/F DFON Room/Kaytapos Rd Bgy Kaytapos Indang/Cavite (120.885429;14.195846)
IMUS3559CICN001,Hu0/2/0/0,FC_NACS3561CICN001 Hu0/3/2/0: IMUPXIMUCINC301 0/0/0/5>>TIE ODF SWITCH TO IOT ROOM F5- F6>>PLDT DASMA C.O to 638 IMUS POI 216F F23/24>>FCIE-DASMA LINK 216F F97/98>>CXD524FCX001-216 F97/98>>FCXI506TMS001-216 F103/104>>NACI512TMS F13- F14>>NACGEFD207 F121- F122>>NACPXNACCINC301 0/0/5,FIX-DN-G/F DFON Room/Imus/Cavite (120.9429269;14.42325269)
IMUS3559CICN001,Hu0/3/0/0,FC_KAWS0016CIBE002 Hu0/0/0/4:CISCO TNT TIE ODF SWITCHING ROOM to DFON ROOM #1 F1/F2>>BNKI514IMU F13/14>>BNKI514IMU 9- 10 >>DASI106IMU001-072 39- 40>>DASD314DAD 167-168>>FCXI506TMS 13- 14>>NACI512TMS 13- 14>>NACI512TMS 25-26>>CPZI491TMS 31-32>>CPZI348RSC 117-118>>BNKI347RSC F49-50>>DFON TO IPBB F205/206; TELEHOUSING GOING TO DFON F103/104>>BNKI514IMU F13/14,FIX-DN-G/F DFON Room/Imus/Cavite (120.9429269;14.42325269)
IMUS3559CICN002,Hu0/2/0/0,FC_KAWS0016CIBE001 Hu0/7/0/3: CISCO TNT TIE ODF SWITCHING ROOM to DFON ROOM #1 F3-F4>>BNKI514IMU F15/16>>BNKI514IMU 11-12 DASI105IMU 5-6>>FCXI495DAS 59-60>>FCXI506TMS 15-16>>NACI512TMS 15-16>>NACI512TMS 27-28>>CPZI491TMS 33-34>>CPZI348RSC 119-120>>BNKI347RSC 51-52>>DFON TO IPBB F207/208; TELEHOUSING GOING TO DFON F115/1116>>BNKI514IMU F15/16,FIX-DN-G/F DFON Room/Imus/Cavite (120.9429269;14.42325269)
IMUS3559CICN002,Hu0/3/2/0,FC_NACS3561CICN002  Hu0/2/0/0: IMUPXIMUCINC301 0/0/0/12>>TIE ODF SWITCH TO IOT ROOM F7-F8>>DASI105IMU F5- F6>>DASD314DAS001-216 F167/168>>FCXI495DAS001-216 F 59/60>>NACI512TMS F15- F16>>NACGEFD207 F131- F132>>NACPXNACCINC302 0/0/0/5,FIX-DN-G/F DFON Room/Imus/Cavite (120.9429269;14.42325269)
IMUPXIMUCINC301,,,FIX-NCS1002-G/F DFON Room/Imus/Cavite (120.9429269;14.42325269)
